選手名,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Team
園田 賢,0.8548703318282678,-2.093946522134355,-0.41996811849086907,1.0949076086728737,2.2243293279228578,1.3094678504663277,0.6070612178052498,0.029730780503040254,0.7661322314772503,-0.2851641916195023,0.027174942060547703,-0.1359720882396953,0.014767114960213174,0.0976851210155367,-0.02998494910643704,0.015493088662848277,-0.02287521849111893,赤坂ドリブンズ
村上 淳,-3.596480526104134,0.807425478006267,-0.5542474520703957,0.37548677228493194,0.04802144058289151,1.0151825437160684,-0.4072542478341581,0.17878662249805147,-0.552381635083079,0.2713806073243406,0.8875863455390732,-0.2080732789902727,0.23755567996775656,-0.03636178122077505,-0.03236355596764371,0.053322274216102056,-0.012853405458860873,赤坂ドリブンズ
鈴木 たろう,1.760572079669476,0.24732749600092613,-1.9231711551420554,-0.027096863151159823,0.2552784828948167,-0.09059497056150512,1.3247001515001917,0.13550216191596465,-0.11862038077708213,-0.5498564649382301,0.09779138228324032,-0.08562482145599236,0.03176348880183424,-0.1574789847182858,-0.05605592408110813,0.07329009375180144,0.009120520700569564,赤坂ドリブンズ
丸山 奏子,-0.009033285998763543,-1.0814291572060322,2.1873086498227234,-2.4882183488664373,-1.4453707566279899,-0.010120856415934562,0.7324377612517696,0.22811568411131045,0.6536957484775786,-0.5280672142347087,-0.1556836526403524,-0.18063195172176477,-0.005930269741740134,0.17929278228212744,-0.10148061730258445,-0.0073817007058027215,-0.00819200012959925,赤坂ドリブンズ
二階堂 亜樹,0.5693012694313064,1.6798473002760628,1.2574721243255664,1.0817778099401019,1.5146702106767465,-0.6485497067534369,0.004222937405068152,1.350569894707994,0.22078791319814112,0.11797214889944162,-0.05253164830871059,-0.15481836714521025,-0.17397183337555822,-0.07479576399060467,-0.017699985118738517,-0.07491593242817125,0.028328500956332145,EX風林火山
勝又 健志,2.1784172832064965,0.09090475941596242,-0.8963656471080329,0.03595741767845267,-1.956284114925617,-0.076708645812087,0.5862165470345158,0.43706741537633753,0.40168145743644595,-0.4824128469105251,0.5653628017685174,-0.13358770122936428,-0.009331170632501225,-0.06341960817369524,0.1303028850876498,-0.020191605443224167,0.00847355652151527,EX風林火山
松ヶ瀬 隆弥,1.4347772104611534,1.8126780931079656,-0.4611674954645922,0.5710364620934639,-0.7626145615361638,0.5102450744536219,0.18286994783586336,-0.7989877547208155,-0.7584723362771005,-0.10872191993499523,-0.6523343545526924,0.24893902006109223,0.03620161077580418,-0.05069162868256812,-0.061615145378156905,0.01871270144079073,-0.0032409646082524855,EX風林火山
二階堂 瑠美,-3.1860272955424076,0.10328537065729332,-0.43376446272040176,-1.4532544216614243,0.8178748071055418,-0.9667859213676714,0.364822698070577,0.43324068625206236,0.3387368755774456,0.7996975550845918,0.1775494821965188,0.0934778407360083,0.022997307740603438,0.06665166577694304,0.0902847198429767,0.07038344297571213,-0.02851647883287344,EX風林火山
内川 幸太郎,-2.302022315118273,0.20058058578927487,0.15238418485137947,-0.27229488940800967,-1.841022696157266,-0.5811049751955997,-0.07689254672330897,-0.0567242281984036,0.16877871535477254,-0.2774213034611158,0.10995821145221239,0.06497892568346819,-0.0785947672916407,0.14786089447650255,0.05796465234988046,0.013440962341731866,0.013288911559156446,KADOKAWAサクラナイツ
岡田 紗佳,-3.446151649037468,-1.4189510164003925,1.3576372979709423,-0.8474245911090893,1.4757497644624162,-1.1229245849389777,0.8779791244465748,1.0485053726184508,-0.3307968172039993,-0.16278110216998495,-0.30614735261346215,0.29975772265775424,0.15582683750447318,-0.07008486215448713,0.028171359449123683,-0.0875843458529107,-0.0008640921163147851,KADOKAWAサクラナイツ
沢崎 誠,4.363151166365646,-0.9736751340968404,-0.34838982464074675,0.6938246924351671,-0.34737060438182493,-1.8634388129936859,0.17381770717876832,-0.5470659102627407,-0.022242808375443984,0.011596250868332833,0.5949842861454742,0.22288591076505643,-0.09565894200703051,0.04188556789235123,-0.04717319544484059,-0.007003005548056538,0.004977721519318391,KADOKAWAサクラナイツ
堀 慎吾,2.3774469231671853,-1.9897072135006484,-1.6152032306602264,0.6015174316911854,0.2954740391379757,0.11959315974379092,-0.41456598197966205,0.33915517490936464,-0.887168146442387,-0.5420720663507477,-0.22427993932389675,0.05066387328663323,0.2519747421236133,0.16892306122181425,0.08508641037412783,-0.023147044557300038,-0.009697233292284895,KADOKAWAサクラナイツ
滝沢 和典,2.3831894004263052,2.355525822671966,-0.7083637585478602,-0.3177890667054032,-0.629374700219275,-1.3415724896048837,-0.3230414654701038,0.6202370340116905,0.3579125211392096,0.4059497475622431,-0.0640944474431243,0.03692810835266005,0.13236921976625993,-0.02985874130791019,-0.10289536402479182,0.019558621489354007,-0.041684826422521165,KONAMI 麻雀格闘倶楽部
佐々木 寿人,-1.6748620400318646,3.4718889507677617,-1.5624253336117668,0.014457901657315933,-0.45829787381398274,-0.05458072459876054,-0.0717502210473057,-1.1775742128657665,1.1411427070707423,-0.4438332444647441,-0.09216490276331138,0.04618533990522335,0.07304510693427024,-0.003861697928283764,0.002685742565178765,-0.05620117502799162,0.014326523456839343,KONAMI 麻雀格闘倶楽部
高宮 まり,-2.327016308929991,-2.255108135933833,-1.2315693984637035,-1.0941115995349455,-0.6789951128019382,-0.4324468844180674,-0.9499737688181743,0.04457866762877561,-0.3615904633558077,-0.05664009888764823,-0.5585297843177699,-0.16207389904780917,-0.18979625127050842,-0.06628884257870969,0.058132756865413734,0.020846262595648462,-0.013612125412792761,KONAMI 麻雀格闘倶楽部
