,0
0,0.45119947398561827
1,0.18944577115191796
2,0.10697055016070799
3,0.08016153543820172
4,0.05328226814150861
5,0.04356931671355841
6,0.03066166198609248
7,0.019131658617498153
8,0.01249455053026492
9,0.011459186595405929
10,0.0015581391501786298
11,6.588752904696799e-05
